,id,city,country,lon,lat,date,temperature,humidity,cloudiness,wind speed
18,1337607,Kudahuvadhoo,MV,72.89,2.67,2018-04-03 17:00:00,85.79,100,80,1.59
44,113636,Tafresh,IR,50.01,34.69,2018-04-03 17:00:00,46.01,60,8,2.26
46,1685876,Solano,PH,121.18,16.52,2018-04-03 17:00:00,66.44,98,80,1.59
58,3131824,Vigrestad,NO,5.7,58.57,2018-04-03 17:00:00,41,99,75,20.8
72,3470709,Barra do Garcas,BR,-52.26,-15.89,2018-04-03 17:00:00,86.87,80,8,4.61
73,3473268,Abadiania,BR,-48.71,-16.2,2018-04-03 17:00:00,78.8,65,75,6.93
116,4060954,Eufaula,US,-85.15,31.89,2018-04-03 17:00:00,79.2,57,40,5.82
140,2633414,Yarmouth,GB,-1.5,50.71,2018-04-03 17:00:00,51.13,87,75,16.11
144,134602,Fereydun Kenar,IR,52.52,36.69,2018-04-03 17:00:00,57.2,87,0,4.7
168,2794853,Jurbise,BE,3.91,50.53,2018-04-03 17:00:00,54.21,71,20,11.41
189,257859,Malia,GR,25.46,35.28,2018-04-03 17:00:00,60.8,67,0,9.17
207,56399,Jamame,SO,42.75,0.07,2018-04-03 17:00:00,81.74,77,24,7.07
223,3420768,Qasigiannguit,GL,-51.19,68.82,2018-04-03 17:00:00,15.8,78,20,1.12
241,2281120,Tabou,CI,-7.36,4.42,2018-04-03 17:00:00,81.92,100,36,11.43
259,3840300,Presidencia Roque Saenz Pena,AR,-60.44,-26.79,2018-04-03 17:00:00,82.73,87,0,4.72
261,60019,Eyl,SO,49.82,7.98,2018-04-03 17:00:00,80.12,99,92,10.98
264,3439749,Trinidad,UY,-56.9,-33.52,2018-04-03 17:00:00,75.2,60,40,8.05
272,3870282,Talcahuano,CL,-73.12,-36.72,2018-04-03 17:00:00,59,82,90,3.36
304,609919,Kuryk,KZ,51.68,43.18,2018-04-03 17:00:00,50.69,73,0,8.41
327,323786,Ankara,TR,32.85,39.92,2018-04-03 17:00:00,46.4,45,20,2.24
356,689307,Tselinnoye,UA,34.18,45.9,2018-04-03 17:00:00,44.12,82,0,10.31
390,2707684,Harnosand,SE,17.94,62.63,2018-04-03 17:00:00,32.94,96,0,6.93
396,3460960,Itabira,BR,-43.23,-19.62,2018-04-03 17:00:00,84.2,54,40,5.82
403,100926,Umm Lajj,SA,37.27,25.02,2018-04-03 17:00:00,70.4,95,0,4.05
422,3496831,Mao,DO,-71.08,19.55,2018-04-03 17:00:00,83.28,54,40,6.93
